"inning","inningHalf","outcomeId","outcomeDescription","pitcherThrowHand","pitcherPitchCount","pitchSpeed","pitchZone","startingBalls","startingStrikes","startingOuts","Success","age","sprint_speed","Fastest","AvgSpeed","home_lead","pitchType","pitchTypeDescription"
2,"BOT","kKS","Strike Swinging","R",24,85,12,2,1,1,0,28,27.1,95.3,88.4320754716981,0,"CH","Changeup"
3,"BOT","kKL","Strike Looking","L",32,90,9,2,2,0,1,28,27.9,92.1,85.1774613506916,-2,"FA","Fastball"
6,"TOP","bB","Ball","R",21,88,13,1,0,1,1,28,26.7,95.4,89.5937835763622,-2,"CT","Cutter"
4,"TOP","bDB","Dirt Ball","R",64,87,12,1,1,0,0,28,28.1,98.9,90.9254929577465,-1,"SL","Slider"
4,"BOT","kKL","Strike Looking","R",43,93,13,1,0,2,1,28,27.1,96.5,90.6061349693252,-2,"SI","Sinker"
3,"TOP","kKL","Strike Looking","R",48,95,11,0,1,1,1,31,29,98.9,90.9254929577465,-1,"FA","Fastball"
1,"TOP","kKS","Strike Swinging","R",9,95,12,3,2,0,0,32,27.2,98.9,90.9254929577465,0,"FA","Fastball"
3,"TOP","kKL","Strike Looking","R",43,83,4,0,0,1,1,28,27.4,92.1,84.7019713954387,0,"CT","Cutter"
3,"BOT","kKS","Strike Swinging","R",41,80,12,2,1,2,1,28,27.9,91,84.630038691523,0,"CH","Changeup"
4,"TOP","bB","Ball","R",53,94,11,0,1,0,1,38,26.7,96.7,89.4685254691689,2,"FA","Fastball"
7,"BOT","kKS","Strike Swinging","R",10,85,13,2,1,0,1,27,26.7,98.9,92.343710292249,7,"SL","Slider"
2,"TOP","bB","Ball","R",36,89,11,0,2,2,1,25,27.7,92.1,84.7019713954387,2,"FA","Fastball"
4,"TOP","bB","Ball","R",63,89,13,3,1,1,0,31,24.8,93.3,84.6869395711501,1,"FA","Fastball"
1,"TOP","bB","Ball","R",15,94,11,2,2,2,1,34,24.8,96.7,89.4685254691689,0,"FA","Fastball"
4,"BOT","kKS","Strike Swinging","R",55,83,12,1,2,1,0,36,26.6,93.5,85.9274816469837,-1,"CH","Changeup"
7,"TOP","kKL","Strike Looking","R",19,77,8,0,0,2,0,30,27.3,97.4,86.7341317365269,1,"CU","Curveball"
7,"BOT","bB","Ball","R",13,75,10,1,1,1,0,28,27.9,91.9,83.6180217937972,1,"CU","Curveball"
6,"TOP","bB","Ball","R",10,93,11,2,1,1,0,29,26.7,98,92.0163366336634,0,"FA","Fastball"
1,"BOT","bB","Ball","R",12,94,11,1,2,0,0,28,27.9,95.5,88.2470622624963,0,"FA","Fastball"
2,"BOT","kKL","Strike Looking","R",39,89,7,2,0,2,1,29,29.3,94.9,85.6360856269113,3,"SI","Sinker"
7,"BOT","bB","Ball","R",91,85,11,1,2,2,0,28,27.1,93.3,87.1107681515258,-1,"FA","Fastball"
5,"BOT","bB","Ball","L",79,92,10,0,1,2,1,28,27.9,96.3,89.1275942298744,4,"SI","Sinker"
6,"BOT","kKS","Strike Swinging","R",65,84,4,2,1,1,1,30,27.9,95.2,85.0974489795918,-2,"SL","Slider"
8,"BOT","bDB","Dirt Ball","R",104,87,12,0,1,1,1,26,28.7,97.6,90.2192374350087,1,"SP","Splitter"
6,"BOT","bB","Ball","L",1,90,11,0,0,2,1,33,25.3,93.8,87.9016064257028,2,"FA","Fastball"
4,"BOT","bB","Ball","R",58,93,10,0,2,2,1,28,28.8,94.7,87.3943733022895,0,"FA","Fastball"
4,"BOT","bDB","Dirt Ball","R",61,85,13,0,0,2,1,33,25.3,98.4,89.3872859949481,-1,"CH","Changeup"
3,"BOT","bB","Ball","R",45,93,11,0,0,1,1,26,28.7,97.6,90.4181737193764,-1,"FA","Fastball"
1,"BOT","kKS","Strike Swinging","R",13,90,13,3,2,0,0,31,28.3,98,91.0095447870778,0,"SL","Slider"
7,"TOP","kKS","Strike Swinging","R",10,92,10,3,2,1,0,38,26.7,97.1,89.4119337979094,-2,"FA","Fastball"
9,"TOP","bB","Ball","R",19,97,11,0,0,2,1,29,26.1,101,91.7561151079137,3,"FA","Fastball"
7,"BOT","kKS","Strike Swinging","R",9,91,7,1,0,0,1,31,28.3,94,86.6499425947187,-2,"SI","Sinker"
9,"BOT","kKS","Strike Swinging","L",7,97,13,2,0,0,1,28,28.8,99.2,92.6970824949698,0,"FA","Fastball"
2,"TOP","kKL","Strike Looking","R",38,89,6,3,3,3,1,29,27.7,94.7,87.5335243553009,0,"SL","Slider"
2,"TOP","kKL","Strike Looking","R",38,88,6,3,2,1,0,29,27.7,94.7,87.5335243553009,0,"SL","Slider"
5,"BOT","bB","Ball","R",80,83,13,0,2,2,1,26,28.7,94.2,87.2182520325203,-1,"SL","Slider"
2,"BOT","bB","Ball","L",29,87,13,1,0,2,0,28,28.8,96.6,88.3875874125874,0,"CH","Changeup"
1,"TOP","kKL","Strike Looking","R",11,95,8,1,1,1,0,32,26.8,98.4,90.1001657275439,0,"FA","Fastball"
9,"TOP","bDB","Dirt Ball","R",6,88,12,2,2,0,1,25,26.9,101.2,90.0159967845659,0,"CU","Curveball"
1,"BOT","bB","Ball","R",12,93,12,1,0,2,1,28,26.7,96.6,88.790958690569,0,"FA","Fastball"
3,"TOP","bDB","Dirt Ball","R",57,78,12,0,2,2,1,33,25.4,92.8,85.076851532897,2,"CU","Curveball"
1,"TOP","bB","Ball","L",9,94,4,0,1,1,1,31,26.7,96.3,89.1275942298744,0,"SI","Sinker"
6,"TOP","bB","Ball","L",86,93,10,0,0,2,1,30,27.9,96.3,89.1275942298744,2,"SI","Sinker"
6,"TOP","bB","Ball","R",95,90,11,0,0,2,1,28,26.6,101.4,94.1405906593407,-3,"CH","Changeup"
3,"TOP","kKS","Strike Swinging","R",35,91,5,0,1,1,1,32,25.7,101.4,94.1405906593407,0,"SL","Slider"
4,"TOP","kFT","Foul Tip","R",59,86,11,1,0,0,0,31,28.7,93.3,87.1107681515258,-1,"FA","Fastball"
5,"TOP","bB","Ball","R",4,95,11,1,2,2,0,29,26.7,99.3,91.573231218089,-2,"FA","Fastball"
7,"BOT","kKS","Strike Swinging","R",11,90,4,2,0,1,1,38,26.5,95.4,89.5937835763622,0,"FA","Fastball"
1,"BOT","bB","Ball","R",7,94,12,1,0,0,1,25,28,97.4,89.6935483870968,-4,"FA","Fastball"
5,"TOP","kKS","Strike Swinging","R",11,76,12,1,1,1,1,33,25.2,96.9,88.7281210592686,-3,"CU","Curveball"
8,"TOP","kKL","Strike Looking","R",19,89,11,1,0,1,1,34,27.5,98.7,92.7442901234568,0,"SL","Slider"
1,"BOT","bB","Ball","L",2,93,10,0,0,0,1,29,29.5,94.5,87.0543689320388,0,"FA","Fastball"
2,"BOT","bB","Ball","R",29,98,10,1,0,1,0,29,27.4,101.4,94.1405906593407,-1,"FA","Fastball"
8,"TOP","bB","Ball","R",12,84,10,0,0,2,1,31,28.5,98.1,88.8924836601307,0,"SL","Slider"
5,"BOT","bB","Ball","R",99,91,12,0,0,1,1,28,28.7,94.5,85.9550646551724,1,"FA","Fastball"
8,"BOT","kKL","Strike Looking","R",8,99,4,0,0,1,1,27,25.4,100.4,94.1682682682683,3,"FA","Fastball"
1,"TOP","kKL","Strike Looking","L",9,76,1,2,1,0,0,33,26.7,94.3,85.487557840617,0,"CH","Changeup"
